[赞],7115
孩子,4832
自闭症,2973
比心,2513
加油,2470
流泪,2396
？,1842
捂脸,1781
感谢,1586
妈妈,1534
看,1505
泣不成声,1259
说话,1222
儿子,1209
我家,1177
玫瑰,1133
吗,1124
现在,1074
不会,991
也是,916
一起,788
伟大,786
我们,767
正常,756
@,749
泪奔,640
玩,640
自闭,621
希望,613
岁,611
月,608
爸爸,600
哭,569
[鼓掌],542
问题,534
宝宝,528
喜欢,526
父母,522
一样,509
干预,506
小孩,427
老师,393
交流,367
语言,367
轩轩,353
别人,345
视频,341
家长,336
小朋友,324
为什么,320
女儿,316
宝贝,316
听,307
女孩,300
挺,299
眼神,296
开始,293
比,293
母亲,293
可爱,291
一直,288
不能,287
但,283
耐心,282
一岁,281
小,280
快,279
特别,279
爸爸妈妈,279
小时候,278
发现,278
一下,276
心疼,276
你们,274
发育,274
起来,269
只是,268
最,262
啥,259
呲,254
牙,254
东西,253
两岁,252
可怜,252
出来,250
过,250
医生,249
理解,249
那个,249
辛苦,248
那,245
三岁,243
2,240
男孩,240
幼儿园,238
喊,235
这些,230
好像,229
为,228
医院,228
已经,227
话,227
有点,227
以后,220
多动症,215
有自闭症,214
更,214
优秀,213
真棒,212
抱抱,211
、,210
3,210
迟缓,199
里,199
聪明,197
好棒,196
来,196
一点,196
666,195
因为,194
死,194
那么,193
付出,192
慢慢,191
检查,191
康复,190
世界,190
生活,190
如果,190
家,190
病,189
治疗,188
两个,187
孤独症,187
指令,184
以前,183
需要,181
打,180
这是,180
谁,180
好好,180
健康,179
很棒,179
愿,177
努力,177
懂,176
半,175
怎么办,172
乐乐,171
害怕,170
走,169
行为,168
天天,168
症状,168
不理,168
好帅,167
只有,165
家庭,165
好可爱,165
哈哈哈,164
用,162
情况,162
好看,161
非常,160
其实,160
焦虑,159
大人,158
好多,157
不好,156
吃,154
其他,153
对视,152
一,151
只会,151
所以,150
棒,149
教,149
所有,148
星星,148
后来,147
每个,147
担心,147
怕,147
沟通,147
每天,146
观察,146
与,146
情绪,144
学校,144
爱心,143
学习,143
有时候,142
哥哥,141
以为,141
心里,140
环境,138
原因,138
长大,137
机构,136
表达,135
问,135
一些,135
反应,135
拿,134
后,134
微笑,133
早,133
字,132
还有,132
们,131
帅气,131
有个,130
暗中,129
找,128
看看,128
的话,128
也很,127
三个,127
大家,126
社交,126
唉,126
家里,126
再,125
娃,124
进步,123
关注,123
然后,122
真是,122
点赞,121
之前,121
太棒了,120
感动,120
儿童,120
好心疼,120
人家,120
或者,119
完,119
太不容易,119
出去,118
别的,118
朋友,118
严重,117
电影,117
中,116
简单,115
比较,115
看电视,114
有些,114
厉害,114
陪伴,114
只,114
👍,113
不到,113
姐姐,112
眼睛,112
长,111
接触,111
4,110
下,110
确诊,109
讲,109
哦,109
弟弟,109
诊断,108
从,108
相信,108
.,108
别,107
一切,107
评论,107
也这样,106
愿意,106
你家,106
尬,105
经常,105
越,105
教育,104
名字,103
也是这样,103
太难,102
一天,102
事,101
高,101
哎,101
1,101
早日康复,100
在家,100
奶奶,100
不了,99
表情,99
几个,98
手机,98
突然,98
一般,98
温柔,97
不敢,97
能力,96
完全,96
幸福,96
不像,96
四岁,96
声音,95
快乐,95
了解,95
母爱,95
天使,95
爸妈,95
晨晨,95
可是,95
开心,94
送心,94
手,94
不错,94
年,94
只要,94
可,94
时间,94
刻板,93
5,93
晚,93
啦,92
6,92
只能,92
造成,92
当,91
少,91
哪里,91
难受,90
引导,90
💪,90
该,89
无法,88
虽然,88
注意力,88
抠,88
讲话,88
可惜,88
有没有,87
妹妹,87
最后,87
您,87
请问,87
：,87
父亲,87
根本,86
不想,86
每次,86
感统,86
小伙子,86
而且,85
天才,85
家人,85
为啥,85
影响,84
抖音,84
哪,84
玩具,84
互动,84
肯定,84
今天,84
天,84
障碍,83
多少,83
不行,83
点,83
鼻,83
了不起,83
帅,83
么,82
陪,82
基因,81
时,81
上学,81
发呆,81
不怎么,81
后天,81
看过,81
老公,80
阳光,80
除了,80
咋,80
怀疑,80
导致,79
帮助,79
崩溃,79
前,78
跑,78
最好,78
而,77
为了,77
社会,77
遗传,77
痛苦,77
专注,77
心酸,76
一种,76
“,76
刚,75
才能,75
很大,75
～,75
”,75
送,75
买,75
特殊,74
样子,74
认识,74
必须,74
那种,74
办法,74
训练,74
多好,74
表现,73
每,73
听懂,73
出门,73
同学,73
棒棒,73
平安,72
不过,72
出,72
小女孩,72
祈祷,71
生,71
很少,71
清楚,71
治愈,71
明显,70
回应,70
当时,70
从小,70
学,70
集中,70
坚持,70
长得,70
成长,70
7,69
接受,69
谢谢,69
地方,69
遇到,69
主动,69
身边,68
方面,68
关系,68
难过,68
没事,68
哈哈哈哈,68
闺女,68
过来,67
干净,67
照顾,67
智力,66
嘛,66
走路,66
明白,66
你好,66
放弃,66
舔,66
祝,66
漂亮,66
结果,65
一年,65
等,65
屏,65
🏻,65
原来,64
请,64
指物,64
强迫症,64
还好,63
控制,63
抱,63
女孩子,63
一模一样,63
重要,63
难,63
着急,63
老,63
不爱,62
事情,62
一次,62
幸运,62
）,62
后面,62
坚强,62
要是,62
一句,61
性格,61
确实,61
看起来,61
真不容易,61
效果,61
脾气,60
天生,60
8,60
（,60
他会,60
小学,60
永远,60
经历,59
出去玩,59
外面,59
刷,59
而已,59
图片,59
林旭,59
基本,58
并,58
两岁半,58
改变,58
建议,58
差不多,58
心,58
好孩子,58
这位,58
生气,57
多么,57
还要,57
强壮,57
小孩子,57
自信,57
内心,57
正常人,56
看见,56
先天,56
好妈妈,56
好可怜,56
吓,55
来自,55
坐,55
包容,55
那些,55
哒,55
五岁,54
拍,54
开口,54
差,54
平时,54
健健康康,54
直接,53
关爱,53
10,53
孤独,53
不停,53
动作,53
听到,53
无,53
爬,53
妈,53
总是,53
男孩子,53
累,53
温暖,53
大笑,53
跟着,52
认知,52
转,52
轻微,52
偶尔,52
岱,52
侄子,52
哈哈,52
各种,51
患者,51
佩服,51
发脾气,51
害羞,51
男人,50
音乐,50
指,50
最近,50
四个,50
医学,50
未来,50
却,50
',50
无奈,49
陌生人,49
放,49
电视,49
方式,49
哪个,49
工作,49
愁,49
多月,49
注意,49
周岁,49
有点像,49
引起,48
懂事,48
今年,48
专业,48
眼泪,48
看不出来,48
里面,48
到底,48
绝对,48
祝福,48
演技,48
很难,47
钱,47
认为,47
吃饭,47
不管,47
逼,47
人生,46
拥抱,46
善良,46
拜拜,46
开,46
心痛,46
轻度,45
有时,45
心情,45
算,45
想到,45
主要,45
怎么样,45
帅哥,45
多动,45
好爸爸,45
更好,45
上课,44
这里,44
比如,44
继续,44
还会,44
告诉,44
拉,44
少年,44
任何,44
倾向,44
有人,44
回答,44
一位,44
培养,44
《,44
》,44
心理,43
姑娘,43
急,43
模仿,43
帮,43
第二个,43
双胞胎,43
干,43
回来,43
踩,43
向,43
自理,43
不用,43
拳头,43
没什么,42
对于,42
19,42
重复,42
可怕,42
本来,42
怎样,42
耳朵,42
六岁,42
宝妈,42
连,42
过去,42
下来,42
大部分,41
一个月,41
判断,41
不同,41
发怒,41
活泼,41
爷爷奶奶,41
同龄,41
笑容,41
区别,41
变成,41
早点,41
接,41
强,41
好漂亮,41
八个,40
对话,40
倒退,40
属于,40
路,40
自言自语,40
阿,40
靠,40
重度,40
是因为,40
失调,40
功能,40
苦,40
马上,40
😭,40
身体,39
就要,39
天下,39
鼓励,39
作为,39
智商,39
太好了,39
演,39
听不懂,39
大宝,39
毛病,39
 ,39
哭闹,38
吓死,38
出生,38
一家人,38
十个月,38
总,38
我要,38
呆,38
疾病,38
海峰,38
方法,38
家里人,38
之后,38
方,38
回家,38
精神,37
背后,37
分享,37
多大,37
我娃,37
不看,37
多带,37
不易,37
慢,37
区,37
真正,37
记得,37
难道,37
轩爸,37
普通,37
9,37
嗯,37
早教,37
刚刚,36
内向,36
想要,36
恢复,36
几岁,36
意思,36
傻笑,36
灵机一动,36
钢琴,36
可怜天下父母心,36
干嘛,36
...,36
美女,36
一辈子,36
电子产品,36
真心,36
30,35
怀孕,35
敏感,35
学会,35
娃娃,35
惯,35
也好,35
结婚,35
保姆,35
一生,35
住,35
小伙,35
状态,35
疫情,34
20,34
那里,34
目前,34
调皮,34
一路,34
穿,34
写,34
课,34
确定,34
小时,34
智障,34
陌生,34
健康成长,34
礼貌,34
出现,34
圆宝,34
运动,34
好运,34
谱系,33
来说,33
️,33
九个,33
艰辛,33
第一次,33
年龄,33
思考,33
几天,33
手指,33
剧,33
不然,33
会得,33
馨儿,33
估计,33
-,33
快点,33
卧槽,33
多多,32
能够,32
疯,32
绝望,32
站,32
面对,32
二胎,32
一看,32
解释,32
女人,32
关心,32
左右,32
疼,32
晚上,32
周,32
班,32
体会,32
牛,32
康复训练,32
做到,31
常人,31
多一点,31
准备,31
暴躁,31
地,31
桐妈,31
伤害,31
女,31
这部,31
背,31
嘴巴,31
天赋,30
感同身受,30
或,30
体检,30
等等,30
恐惧,30
不应,30
发生,30
身上,30
无助,30
到处,30
不如,30
大儿子,30
值得,30
对待,30
不幸,30
评估,30
感受,30
父爱,30
那样,30
哇,30
农村,30
娜娜,30
不让,29
睡觉,29
打人,29
抓,29
咋办,29
特教,29
我能,29
先,29
看得,29
太多,29
专家,29
唠,29
俩,29
牛逼症,29
没用,29
小姑娘,29
扔,29
小帅哥,29
看不出,29
儿童医院,29
傻子,29
正,29
症,29
异常,28
发音,28
融入,28
不够,28
搞,28
闹,28
第一个,28
想象,28
斯伯格,28
美好,28
见,28
小区,28
句子,28
锻炼,28
落后,28
好好看,28
无意识,28
抱拳,28
文章,28
男,28
想想,28
甚至,28
游戏,28
呜呜,28
听说,27
倒,27
得到,27
查,27
也许,27
奇怪,27
五个,27
国家,27
分,27
搭理,27
如何,27
?,27
心态,27
养,27
好乖,27
当妈,27
个人,27
昨天,27
真帅,27
紧张,27
同样,27
改善,27
强大,27
整天,27
中国,27
不住,27
刷到,27
吓人,27
亲戚,27
我妈,26
七个,26
11,26
词,26
数字,26
几年,26
暖,26
技能,26
其中,26
两年,26
痨,26
差点,26
生病,26
测试,26
塑料袋,26
我会,26
小天使,26
打开,26
错,26
两周,26
~,26
第一,26
一点点,26
面前,26
她们,26
刺激,26
科普,25
哪些,25
懂得,25
几乎,25
安静,25
老是,25
阿姨,25
老板,25
单纯,25
居然,25
读,25
赶紧,25
抑郁,25
终于,25
逗,25
耽误,25
想法,25
于,25
抑郁症,25
新,25
星宝,25
理,25
不知,25
弄,25
好厉害,25
缺陷,24
喷,24
高兴,24
全中,24
久,24
乱跑,24
治,24
看上去,24
答应,24
成绩,24
实在,24
型,24
上天,24
兴趣,24
勇敢,24
因素,24
他人,24
泪目,24
别说,24
低,24
外界,24
发展,24
衰,24
多帅,24
有关,24
解决,24
以琳,24
痛,24
孙子,24
n,24
压抑,23
从来,23
不说,23
适应,23
求,23
一边,23
教他,23
成,23
一扇,23
坐不住,23
放松,23
怎么回事,23
就算,23
明明,23
猪头,23
用心,23
同时,23
慢慢来,23
打扰,23
保护,23
晨妈,23
各,23
多点,23
侄女,23
爷爷,23
自理能力,23
三周岁,23
下去,23
一说,23
同事,23
变,23
说实话,23
邻居,23
王姬,23
偷笑,23
搞笑,23
超级,23
拽,23
石头,23
世上,23
往,23
专门,23
爸,22
狗,22
其它,22
想起,22
二岁,22
善待,22
不肯,22
上班,22
重视,22
通过,22
立马,22
不吃,22
适合,22
说法,22
不太,22
简直,22
活,22
好动,22
一名,22
窗,22
衣服,22
以,22
某,22
疑似,22
一眼,22
看不得,22
同情,22
日子,22
庆幸,22
家族,22
表达能力,22
律师,22
超,22
慌,22
算是,22
好听,22
中医,22
听得懂,22
跳,22
思维,22
石化,22
半年,21
中度,21
没法,21
大学,21
故事,21
毕竟,21
妈呀,21
一年级,21
陪读,21
事物,21
支持,21
来看,21
条件,21
按,21
看来,21
撞,21
滑板,21
睡,21
选择,21
一家,21
有病,21
什么样,21
听话,21
而是,21
活着,21
头,21
行,21
布衣,21
震惊,21
大脑,21
屁,21
:,21
酷,21
号,21
发,21
多才,21
外人,21
最大,21
积极,21
很帅,21
丢,21
一顿,20
进行,20
老人,20
普通人,20
啊啊啊,20
整个,20
班里,20
不跟人,20
捂,20
